Short branch name,Branch,Region,Klasifikasi Liga 2024,"Klasifikasi Liga 2025, W1","Klasifikasi Liga 2025, W2","Klasifikasi Liga 2025, AVG Score",LIGA 2026
2215 - EIGER Adventure Store Diponegoro Banyuwangi,JAWA TIMUR 2,REGION 4,BRONZE,SILVER,GOLD,GOLD,SILVER
2079 - EIGER Adventure Store Rajawali Pelembang,SUMATERA 1,REGION 2,SILVER,GOLD,SILVER,GOLD,SILVER
2004 - EIGER Adventure Flagship Store Cihampelas Bandung,JAWA BARAT 1,REGION 2,SILVER,SILVER,GOLD,GOLD,SILVER
2108 - EIGER Adventure Store Majapahit Semarang,JAWA TENGAH 2,REGION 3,GOLD,GOLD,GOLD,GOLD,GOLD
2102 - EIGER Adventure Store Plaju Pelembang,SUMATERA 1,REGION 2,BRONZE,GOLD,GOLD,GOLD,GOLD
2043 - EIGER Adventure Store HM Joyo Martono Bekasi,DKI 2,REGION 1,SILVER,SILVER,GOLD,GOLD,SILVER
2218 - EIGER Adventure Store Moh Hatta Luwuk,IBT 2,REGION 5,SILVER,SILVER,GOLD,GOLD,SILVER
2225 - EIGER Adventure Store Antasari Bandar Lampung,SUMATERA 1,REGION 2,GOLD,GOLD,GOLD,GOLD,GOLD
2192 - EIGER Adventure Store Letjen Suwarto Banjar,JAWA BARAT 3,REGION 2,GOLD,GOLD,GOLD,GOLD,GOLD
2266 - EIGER Adventure Flagship Store Andi Djemma Makassar,IBT 2,REGION 5,RISING STAR,SILVER,GOLD,GOLD,SILVER
2168 - EIGER Adventure Store Tentara Pelajar Tasikmalaya,JAWA BARAT 3,REGION 2,GOLD,GOLD,GOLD,GOLD,GOLD
2007 - EIGER Adventure Store Ujung Berung Bandung,JAWA BARAT 2,REGION 2,SILVER,SILVER,GOLD,GOLD,SILVER
2109 - EIGER Adventure Store Gusdur Jombang,JAWA TIMUR 3,REGION 4,SILVER,BRONZE,GOLD,GOLD,SILVER
2263 - EIGER Adventure Store Yos Sudarso Sanggatta,IBT 1,REGION 5,SILVER,SILVER,GOLD,GOLD,SILVER
2015 - EIGER Adventure Store Dr Cipto CSB Cirebon,JAWA BARAT 3,REGION 2,SILVER,BRONZE,GOLD,GOLD,SILVER
2356 - EIGER Adventure Store Ngurah Rai Sanur Denpasar,IBT 3,REGION 5,SILVER,GOLD,GOLD,GOLD,GOLD
2273 - EIGER Adventure Store Pb Sudirman Situbondo,JAWA TIMUR 2,REGION 4,GOLD,SILVER,GOLD,GOLD,SILVER
2053 - EIGER Adventure Store Slamet Riyadi Surakarta,JAWA TENGAH 1,REGION 3,GOLD,SILVER,GOLD,GOLD,SILVER
2150 - EIGER Adventure Store Veteran Blitar,JAWA TIMUR 2,REGION 4,GOLD,GOLD,GOLD,GOLD,GOLD
7032 - EIGER Adventure Store Raya Barat Cimahi,JAWA BARAT 4,REGION 2,SILVER,SILVER,GOLD,GOLD,SILVER
2130 - EIGER Adventure Store Daan Mogot Tangerang,DKI 3,REGION 1,SILVER,BRONZE,GOLD,GOLD,SILVER
2113 - EIGER Adventure Store A.Yani Wonosobo,JAWA TENGAH 2,REGION 3,SILVER,BRONZE,GOLD,GOLD,SILVER
2085 - EIGER Adventure Store Sunan Kudus,JAWA TENGAH 2,REGION 3,SILVER,GOLD,GOLD,GOLD,GOLD
2283 - EIGER Adventure Store A.Yani Serang,DKI 3,REGION 1,SILVER,GOLD,GOLD,GOLD,GOLD
2363 - EIGER Adventure Store Percetakan Negara Jayapura,IBT 4,REGION 5,SILVER,SILVER,GOLD,GOLD,SILVER
2196 - EIGER Adventure Store Cokroaminoto Kisaran,SUMATERA 3,REGION 3,GOLD,SILVER,GOLD,GOLD,SILVER
5045 - EIGER Adventure Store Plaza Medan Fair Medan,SUMATERA 3,REGION 3,SILVER,SILVER,GOLD,GOLD,SILVER
5108 - EIGER Adventure Store Mega Mall Pontianak,IBT 1,REGION 5,GOLD,GOLD,GOLD,GOLD,GOLD
2044 - EIGER Adventure Store Pahlawan Mojokerto,JAWA TIMUR 3,REGION 4,SILVER,SILVER,GOLD,GOLD,SILVER
2066 - EIGER Adventure Store A.Yani Banyuwangi,JAWA TIMUR 2,REGION 4,SILVER,GOLD,GOLD,GOLD,GOLD
2316 - EIGER Adventure Store Jamin Ginting Kabanjahe,SUMATERA 3,REGION 3,GOLD,SILVER,GOLD,GOLD,SILVER
2267 - EIGER Adventure Store Masjid Jamik Pangkal Pinang,SUMATERA 1,REGION 2,SILVER,GOLD,SILVER,GOLD,SILVER
2223 - EIGER Adventure Store RE Martadinata Cikarang,DKI 2,REGION 1,RISING STAR,SILVER,GOLD,GOLD,SILVER
2131 - EIGER Adventure Store Bojongsoang Bandung,JAWA BARAT 4,REGION 2,SILVER,GOLD,GOLD,GOLD,GOLD
2320 - EIGER Adventure Store Juanda Medan,SUMATERA 3,REGION 3,BRONZE,SILVER,GOLD,GOLD,SILVER
7018 - EIGER Adventure Store Jen.Sudirman Pemalang,JAWA TENGAH 2,REGION 3,RISING STAR,GOLD,GOLD,GOLD,GOLD
2176 - EIGER Adventure Store Raya Serang Pandeglang,DKI 3,REGION 1,BRONZE,SILVER,GOLD,GOLD,SILVER
5026 - EIGER Adventure Store Kota Kasablanka Mall Kebayoran Baru,DKI 1,REGION 1,SILVER,SILVER,GOLD,GOLD,SILVER
2387 - EIGER Adventure Store Surapati Bandung,JAWA BARAT 2,REGION 2,SILVER,SILVER,GOLD,GOLD,SILVER
2201 - EIGER Adventure Store Soekarno Hatta Kendal,JAWA TENGAH 2,REGION 3,SILVER,SILVER,GOLD,GOLD,SILVER
2393 - EIGER Adventure Store Grand Depok Depok,DKI 4,REGION 1,SILVER,BRONZE,GOLD,GOLD,SILVER
2245 - EIGER Adventure Store A.Yani Rantau Prapat,SUMATERA 3,REGION 3,GOLD,SILVER,GOLD,GOLD,SILVER
7031 - EIGER Adventure Store Rajawali Surabaya,JAWA TIMUR 1,REGION 4,SILVER,BRONZE,GOLD,GOLD,SILVER
5105 - EIGER Adventure Store Lippo Plaza Jember,JAWA TIMUR 2,REGION 4,SILVER,BRONZE,GOLD,GOLD,SILVER
2184 - EIGER Adventure Store KH Abdulah Cianjur,JAWA BARAT 4,REGION 2,GOLD,SILVER,GOLD,GOLD,SILVER
2016 - EIGER Adventure Store Teuku Umar Denpasar,IBT 3,REGION 5,RISING STAR,BRONZE,GOLD,GOLD,SILVER
2220 - EIGER Adventure Store Juanda Ciamis,JAWA BARAT 3,REGION 2,SILVER,SILVER,GOLD,GOLD,SILVER
7041 - EIGER Adventure Store Kaharuddin Marpoyan Pekanbaru,SUMATERA 2,REGION 3,SILVER,BRONZE,GOLD,GOLD,SILVER
7005 - EIGER Adventure Store Pemuda Klaten,JAWA TENGAH 1,REGION 3,BRONZE,SILVER,GOLD,GOLD,SILVER
2038 - EIGER Adventure Store Kaliurang Yogyakarta,JAWA TENGAH 1,REGION 3,SILVER,GOLD,SILVER,GOLD,SILVER
2240 - EIGER Adventure Store Citeureup Cibinong,DKI 4,REGION 1,SILVER,SILVER,GOLD,GOLD,SILVER
5000 - EIGER Adventure Store Bandung Indah Plaza Bandung,JAWA BARAT 1,REGION 2,SILVER,SILVER,GOLD,GOLD,SILVER
2304 - EIGER Adventure Store Parahyangan KBP Ngamprah,JAWA BARAT 4,REGION 2,SILVER,SILVER,GOLD,GOLD,SILVER
2117 - EIGER Adventure Store Jen.Sudirman Purwokerto,JAWA TENGAH 2,REGION 3,SILVER,SILVER,GOLD,GOLD,SILVER
2339 - EIGER Adventure Store Pasar Minggu Kebayoran Baru,DKI 1,REGION 1,BRONZE,SILVER,GOLD,GOLD,SILVER
2229 - EIGER Adventure Store Soekarno Hatta Bima,IBT 3,REGION 5,SILVER,SILVER,GOLD,SILVER,SILVER
2189 - EIGER Adventure Store S.Kalijaga Rangkas Bitung,DKI 3,REGION 1,GOLD,SILVER,GOLD,SILVER,SILVER
2258 - EIGER Adventure Store Diponegoro Bondowoso,JAWA TIMUR 2,REGION 4,BRONZE,SILVER,GOLD,SILVER,SILVER
2210 - EIGER Adventure Flagship Store Soekarno Surabaya,JAWA TIMUR 1,REGION 4,BRONZE,BRONZE,GOLD,SILVER,SILVER
2325 - EIGER Adventure Store Sudirman The Hok Jambi,SUMATERA 2,REGION 3,BRONZE,BRONZE,GOLD,SILVER,SILVER
7020 - EIGER Adventure Store Sunan Drajat Lamongan,JAWA TIMUR 3,REGION 4,SILVER,GOLD,BRONZE,SILVER,SILVER
